Category,Subcategory,Item,Details
Agenda,Jeu. 17 Juillet,12:00,musee du vin degustaiont 1h30 https://www.getyourguide.com/porto-l151/porto-billets-et-degustations-pour-l-exposition-wow-the-wine-t409325/?ranking_uuid=3dc10afd-c1d3-43e8-acf5-653c81b5843a
Agenda,Jeu. 17 Juillet,14:00,Porto : le funiculaire https://thumbs.dreamstime.com/z/pont-de-dom-luis-i-à-porto-et-funiculaire-en-gaïa-49404378.jpg?ct=jpeg
Agenda,Jeu. 17 Juillet,16:00,Igreja de São Francisco Avenida dos Aliados
Agenda,Ven. 18 Juillet,09:00,route ver DOURO https://cdn.getyourguide.com/img/tour/a32b862075be56fd.jpeg/145.jpg
Agenda,Ven. 18 Juillet,12:00,Vallée du Douro : Visite des vignobles avec déjeuner dégustations et croisière fluviale
Agenda,Ven. 18 Juillet,14:00,your activity
Agenda,Ven. 18 Juillet,16:00,your activity
Agenda,Sam. 19 Juillet,09:00,Funicular dos Guindais
Agenda,Sam. 19 Juillet,12:00,shopping autour de Rua Santa Catarina
Agenda,Sam. 19 Juillet,14:00,Fondation Serralves et Pastéis de Nata dans la Rua das Flores
Agenda,Sam. 19 Juillet,16:00,Jardins do Palacio de Cristal https://images-production.gardenvisit.com/uploads/images/18561/palacio_cristal_garden_original.jpg
Agenda,Dim. 20 Juillet,09:00,your activity
Agenda,Dim. 20 Juillet,12:00,your activity
Agenda,Dim. 20 Juillet,14:00,your activity
Agenda,Dim. 20 Juillet,16:00,your activity
Agenda,Lun. 21 Juillet,09:00,your activity
Agenda,Lun. 21 Juillet,12:00,your activity
Agenda,Lun. 21 Juillet,14:00,your activity
Agenda,Lun. 21 Juillet,16:00,your activity
Practical Info,112,Emergency Numbers
Practical Info,numero de sergio,Local Customs
Practical Info,famille de Sergio,Currency Information
Contacts,Kenji Girac,Hotel Contact
Contacts,112,Emergency Numbers
Contacts,Gordon,Tour Guides
trip-background, ,
trip-destination, ,
trip-calendar, ,
trip-info, ,
trip-transport, ,
trip-contacts, ,
title,Portugal (local) 
dateTitle,12 - 20 Juillet 2025
